"","AI_trustworthy_chr","task_difficulty_chr","AI_help_count","Feedback","StartDate","Duration (in seconds)","Finished","ResponseId","PROLIFIC_PID","mTurkCode","year_born","gender_chr","education_chr","Group","Consent1_chr","Consent2_chr","Attn_check1_chr","Attn_check2_chr","sea_slug_resp","swimming_trunks_resp","megalith_resp","brown_bear_resp","nails_resp","chickpea_resp","goblet_resp","monitor_resp","spider_monkey_resp","gazania_resp","marimba_resp","football_helmet_resp","madagascar_cat_resp","shrimp_resp","mite_resp","nightsnake_resp","basenji_resp","vacuum_resp","cherry_resp","ruffed_grouse_resp","metronome_resp","envelope_resp","logwood_resp","fragrant_orchid_resp","howler_monkey_resp","sea_slug_conf","swimming_trunks_conf","megalith_conf","brown_bear_conf","nails_conf","chickpea_conf","goblet_conf","monitor_conf","spider_monkey_conf","gazania_conf","marimba_conf","football_helmet_conf","madagascar_cat_conf","shrimp_conf","mite_conf","nightsnake_conf","basenji_conf","vacuum_conf","cherry_conf","ruffed_grouse_conf","metronome_conf","envelope_conf","logwood_conf","fragrant_orchid_conf","sea_slug_time","swimming_trunks_time","megalith_time","brown_bear_time","nails_time","chickpea_time","goblet_time","monitor_time","spider_monkey_time","gazania_time","marimba_time","football_helmet_time","madagascar_cat_time","shrimp_time","mite_time","nightsnake_time","basenji_time","vacuum_time","cherry_time","ruffed_grouse_time","metronome_time","envelope_time","logwood_time","fragrant_orchid_time","age","college","male_num","AI_trustworthy_in_num","Task_difficulty_in_num","AI_help_percent","One_AI_bar","One_AI_nobar","Five_AI_bar","Five_AI_nobar","Five_AI_ABC","Control","AI","One_AI","Five_AI","bar","nobar","sea_slug","swimming_trunks","megalith","brown_bear","nail","chickpea","goblet","monitor","spider_monkey","gazania","marimba","football_helmet","madagascar_cat","shrimp","mite","night_snake","basenji","vacuum","cherry","ruffed_grouse","metronome","envelope","logwood","fragrant_orchid","howler_monkey","attn_check1_num","attn_check2_num","attn_check3_num","attn_check_sum","attn_check","avg_conf","avg_time_spent_per_Q","sea_slug_exact_match","swimming_trunks_exact_match","megalith_exact_match","brown_bear_exact_match","nail_exact_match","chickpea_exact_match","goblet_exact_match","monitor_exact_match","spider_monkey_exact_match","gazania_exact_match","marimba_exact_match","football_helmet_exact_match","madagascar_cat_exact_match","shrimp_exact_match","mite_exact_match","night_snake_exact_match","basenji_exact_match","vacuum_exact_match","cherry_exact_match","ruffed_grouse_exact_match","metronome_exact_match","envelope_exact_match","logwood_exact_match","fragrant_orchid_exact_match","sea_slug_synonym","swimming_trunks_synonym","megalith_synonym","brown_bear_synonym","nail_synonym","chickpea_synonym","goblet_synonym","monitor_synonym","spider_monkey_synonym","gazania_synonym","marimba_synonym","football_helmet_synonym","madagascar_cat_synonym","shrimp_synonym","mite_synonym","night_snake_synonym","basenji_synonym","vacuum_synonym","cherry_synonym","ruffed_grouse_synonym","metronome_synonym","envelope_synonym","logwood_synonym","fragrant_orchid_synonym","sea_slug_present","swimming_trunks_present","megalith_present","brown_bear_present","nail_present","chickpea_present","goblet_present","monitor_present","spider_monkey_present","gazania_present","marimba_present","football_helmet_present","madagascar_cat_present","shrimp_present","mite_present","night_snake_present","basenji_present","vacuum_present","cherry_present","ruffed_grouse_present","metronome_present","envelope_present","logwood_present","fragrant_orchid_present","sea_slug_category","swimming_trunks_category","megalith_category","brown_bear_category","nail_category","chickpea_category","goblet_category","monitor_category","spider_monkey_category","gazania_category","marimba_category","football_helmet_category","madagascar_cat_category","shrimp_category","mite_category","night_snake_category","basenji_category","vacuum_category","cherry_category","ruffed_grouse_category","metronome_category","envelope_category","logwood_category","fragrant_orchid_category","exact_match_answers_sum","synonym_answers_sum","present_answers_sum","category_answers_sum","exact_match_answers_as_percent","synonym_answers_as_percent","present_answers_as_percent","category_answers_as_percent"
"1",NA,"Extremely difficult",NA,NA,2020-05-01 14:41:55,"515","True","R_dfXLTMVXpiMb9K1","58740807327dab000199e2b0","565062",1956,"Female","Some college","Control","Yes","Yes","Howler Monkey","Be Specific","underwater shot","summer shorts with tanned legs","standing stones","brown bears","galvanised nails","vegetable dish","coloured glass","computer monitor","monkey","sunflower in bloom","xylophone","sports helmet","ring tailed lemur","pasta and ?","spider","snake","basenji","don't know","cherries and a dalmatian","wild bird","metronome","don't know","campsite","orchids","howler monkey",0.4,0.6,0.6,0.4,0.6,0.4,0.4,0.6,0.2,0.4,0.2,0.6,0.4,0.4,0.2,0.2,0.2,1,0.6,0.2,0.6,1,0.6,0.6,17.725,25.379,10.815,10.171,12.259,16.68,9.389,11.918,15.934,9.922,19.362,29.116,10.499,14.81,15.894,13.269,13.29,12.997,23.581,19.538,8.423,18.79,11.288,10.277,64,0,0,NA,5,NA,0,0,0,0,0,1,0,0,0,0,0,"wrong","synonym","category","correct","correct","category","category","correct","category","synonym","category","category","synonym","present","wrong","category","correct","wrong","correct","category","correct","wrong","present","category","correct",1,1,1,3,1,0.475,15.05525,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,6,9,11,20,0.25,0.375,0.458333333333333,0.833333333333333
"2","Somewhat untrustworthy","Somewhat difficult",18,NA,2020-05-01 14:44:07,"550","True","R_2zOzRpFBOVQ2CPk","5b22378b60c40e000103a644","463944",1998,"Male","Some college","5AI_nobar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea","goblet","desktop computer","howler monkey","sunflower","percussion mallets","football helmet","ring tailed lemur","shrimp","mite","hognose snake","basenji","handheld vacuum cleaner","dalmatian","partridge","metronome","envelope","tent","dendrobium","howler monkey",0.6,0.8,0.6,1,0.8,0.6,0.8,0.8,0.8,0.4,0.4,0.6,0.6,0.8,0.8,0.6,0.6,0.2,0.8,0.6,1,0.4,1,0.4,9.661,8.063,15.652,6.308,6.657,6.669,7.674,7.767,9.701,17.531,67.709,11.234,12.456,5.335,7.256,15.534,6.011,45.23,6.908,7.458,9.151,8.684,5.833,37.994,22,0,1,2,4,0.72,0,0,0,1,0,0,1,0,1,0,1,"correct","correct","correct","correct","correct","correct","correct","synonym","wrong","synonym","category","correct","synonym","correct","correct","wrong","correct","correct","present","wrong","correct","correct","present","synonym","correct",1,1,1,3,1,0.666666666666667,14.2698333333333,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,14,18,20,21,0.583333333333333,0.75,0.833333333333333,0.875
"3","Somewhat untrustworthy","Somewhat easy",7,NA,2020-05-01 14:49:44,"255","True","R_10BngK9KEBwxDZG","5c8e8bed75696a001820d5eb","859669",1994,"Female","4 year degree","1AI_bar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","stone henge","brown bear","nail","chickpea","goblet","computer screen","howler monkey","sunflower","xylophone","football helmet","lemur","shrimp","mite","hognose snake","dog","usb stick","dalmatian","partidge","metronome","envelope","tent","lilly","howler monkey",0.6,0.6,0,0.8,0.8,0.6,0.8,1,0,0.6,0.4,0.4,0.8,0.6,0.8,0,0.8,0.8,1,0.2,1,0,0.8,0.6,6.565,6.628,8.942,4.096,4.033,5.548,4.962,5.797,6.292,4.325,10.887,12.83,5.62,3.654,4.389,6.442,4.731,5.674,4.839,5.811,20.907,7.735,3.6,4.043,26,1,0,2,2,0.28,1,0,0,0,0,0,1,1,0,1,0,"correct","correct","wrong","correct","correct","correct","correct","synonym","wrong","synonym","category","correct","synonym","correct","correct","wrong","category","wrong","present","wrong","correct","correct","present","wrong","correct",1,1,1,3,1,0.583333333333333,6.59791666666667,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,11,14,16,18,0.458333333333333,0.583333333333333,0.666666666666667,0.75
"4","Somewhat untrustworthy","Somewhat difficult",7,NA,2020-05-01 14:48:41,"423","True","R_32RCjZaxsaUjtQZ","5d0a322690da3200017cac41","842053",1998,"Female","Some college","1AI_bar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickepea","goblet","computer","howler monkey","gazania","yarn","football helmet","ring tailed lemur","prawn pasta","mite","python","basenji","shaver","dalmatian","partridge","metronome","purse","tent","coelogyne","howler monkey",0,0.4,0,0.4,0.8,0.6,0.8,0.6,0.4,0.2,0.2,0.2,0.6,0.4,0.2,0.4,0.4,0.2,0.2,0.4,0.4,0,0.4,0,8.306,8.598,8.773,7.942,5.331,8.402,7.357,10.232,16.621,20.076,7.739,25.278,14.283,11.054,7.341,7.062,27.553,9.274,6.659,10.791,39.543,12.05,8.659,10,22,0,0,2,4,0.28,1,0,0,0,0,0,1,1,0,1,0,"correct","correct","correct","correct","correct","correct","correct","synonym","wrong","correct","wrong","correct","synonym","category","correct","wrong","correct","wrong","present","wrong","correct","wrong","present","synonym","correct",1,1,1,3,1,0.341666666666667,12.4551666666667,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,12,15,17,18,0.5,0.625,0.708333333333333,0.75
"5","Somewhat trustworthy","Extremely easy",8,NA,2020-05-01 14:46:00,"661","True","R_ekwWGUxwzhyERBD","58c471683977190001f54327","817006",1970,"Female","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific","sea slug","a man's legs","megalith","grizzly bears","nails","chickpeas","goblet","computer monitor","howler monkey","sunflower","yarn","american football helmet","racoon","king prawns","mite","a rattlesnake","basenji","usb laptop cleaner","dalmatian","a partridge","metranome","handmade envelope with craft patterns on","tents","petals on a flower","howler monkey",0,0.8,0.8,1,1,0.8,0.6,1,0.4,0.8,0.8,1,0.6,0.4,0.8,0.2,0.2,0.8,1,0.2,1,0,1,0,21.738,22.032,25.729,12.136,8.17,18.469,8.901,15.564,25.647,8.842,12.999,19.627,10.88,19.234,12.441,30.37,48.902,27.817,13.823,28.193,23.57,54.206,15.288,28.161,50,1,0,4,1,0.32,0,1,0,0,0,0,1,1,0,0,1,"correct","present","correct","synonym","correct","correct","correct","correct","wrong","synonym","wrong","correct","wrong","category","correct","wrong","correct","synonym","present","wrong","correct","correct","present","category","correct",1,1,1,3,1,0.633333333333333,21.364125,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,11,14,17,19,0.458333333333333,0.583333333333333,0.708333333333333,0.791666666666667
"6",NA,"Somewhat difficult",NA,NA,2020-05-01 14:49:37,"499","True","R_2YfwIWkcbpaGDMs","5c2e21bf2c45d400014a9121","667",1976,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific","coral","mans legs","stones","polar bear","tacks","bean salad","blue vase","computer monitor","monkey","flower","drumsticks","american football headgear","koala","cooked shrimp","red spider","snake","dog","usb trimmer","dalmation dog with cherries","bird","heart and sun dial","crafts","tents","flower","howler monkey",0,1,0.6,0.8,1,0.6,0.2,1,0.6,0.4,0.8,0.8,0,0.4,0.2,0.2,0.6,0.4,1,0.2,0.2,0.2,1,0,25.046,5.226,56.983,66.801,15.482,9.302,8.365,11.028,16.877,8.254,14.372,14.688,9.465,11.1,7.5,21.254,6.257,17.22,10.937,6.873,37.761,10.656,7.141,7.685,44,1,0,NA,4,NA,0,0,0,0,0,1,0,0,0,0,0,"synonym","present","category","wrong","category","synonym","category","correct","category","category","wrong","synonym","wrong","correct","wrong","category","category","wrong","correct","category","present","present","present","category","correct",1,1,1,3,1,0.508333333333333,16.9280416666667,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,3,6,10,19,0.125,0.25,0.416666666666667,0.791666666666667
"7","Somewhat trustworthy","Somewhat difficult",18,NA,2020-05-01 14:44:24,"904","True","R_3dXMEtAAnb9btiG","5c4a28e0b8f0e3000192feda","36094",1993,"Female","4 year degree","5AI_bar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea salad","goblet","computer monitor","howler monkey","gazania","xylophone","football helmet","lemur","shrimp","mite","hognose snake","basenji","computer vacuum","dalmation","partridge","metronome","envelope","tent","coelogyne","howler monkey",0.8,0.4,0.8,1,1,0.6,0.8,1,0.6,0.6,0.6,1,1,0.4,0.8,0.2,0.4,0.4,0.8,0.4,1,0.6,0.6,0,16.215,18.842,35.557,50.679,5.135,28.273,17.578,51.077,9.838,66.213,48.888,21.478,45.128,12.278,6.686,7.907,26.558,85.51,8.5,57.502,39.08,27.449,16.81,50.825,27,1,0,4,4,0.72,0,0,1,0,0,0,1,0,1,1,0,"correct","correct","correct","correct","correct","correct","correct","correct","wrong","correct","category","correct","synonym","correct","correct","wrong","correct","correct","present","wrong","correct","correct","present","synonym","correct",1,1,1,3,1,0.658333333333333,31.4169166666667,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,16,18,20,21,0.666666666666667,0.75,0.833333333333333,0.875
"8","Somewhat untrustworthy","Somewhat difficult",8,NA,2020-05-01 14:52:02,"492","True","R_3femOvMlhAQlsfA","59ce5e24aeef3b0001021a58","802494",1985,"Female","Some college","5AI_bar","Yes","Yes","Spider Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","food?!","wine glass","desktop computer","howler monkey","sunflower","musical instrument (i can't remember the exact name)","signed football helmet","lemur","shrimp","tick","snake of some kind","basenji","computer keyboard cleaner","dalmation","partridge","metronome","envelope","tent","no idea","howler monkey",0.8,0.6,0.6,0.6,1,0,0.2,0.8,0.4,0.8,0.6,0.6,0.8,0.8,0,0,0.8,0.6,1,0.6,0.6,0.8,0.8,0,8.679,7.566,15.176,5.826,4.2,15.379,15.184,7.113,16.935,5.146,62.486,16.571,35.279,6.114,13.055,18.457,21.785,23.065,5.12,14.825,37.807,13.976,4.971,12.394,35,0,0,2,4,0.32,0,0,1,0,0,0,1,0,1,1,0,"correct","correct","correct","correct","correct","category","synonym","synonym","wrong","synonym","category","correct","synonym","correct","category","category","correct","synonym","present","wrong","correct","correct","present","wrong","correct",0,1,1,2,0,0.575,16.1295416666667,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,10,15,17,21,0.416666666666667,0.625,0.708333333333333,0.875
"9","Somewhat trustworthy","Somewhat easy",4,"The instructions were a little hard to understand",2020-05-01 14:43:08,"1351","True","R_r6mlXUKPAQawvm1","5eab263a1d4ec50e7aa250f2","498501",1997,"Male","High School","5AI_ABC","Yes","Yes","Howler Monkey","Be Detailed","a sea cucumber","a man wearing short pants","large rocks in a field","brown bear","nail","chickpeas with a cherry tomato","goblet","desktop computer","a monkey in a tree","an african daisy","xylophone with mallets","football helmet","spider monkey","shrimp","a tiny red spider on a window","night snake","a home photo of a corgi","a usb powered brush","a dalmation with cherries","a pheasant in tall grass","a metronome in front of an image of a heart","an envelope holder","tent","coelgyne","a howler monkey in a tree",0.2,1,1,1,1,1,1,1,1,0.8,0.8,1,0.6,1,0.8,0.4,1,0.8,1,0.6,1,0.8,1,0,43.598,36.724,85.472,18.746,67.098,35.944,26.98,11.394,43.889,20.801,39.041,32.797,33.863,12.926,49.045,49.645,30.641,70.111,73.564,28.792,55.562,47.937,62.065,30.214,23,0,1,4,2,0.16,0,0,0,0,1,0,1,0,1,0,1,"synonym","synonym","category","correct","correct","correct","correct","synonym","category","synonym","category","correct","wrong","correct","wrong","correct","wrong","wrong","correct","wrong","correct","correct","present","synonym","correct",1,0,1,2,0,0.825,41.9520416666667,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,10,15,16,19,0.416666666666667,0.625,0.666666666666667,0.791666666666667
"10","Somewhat trustworthy","Somewhat difficult",20,"none",2020-05-01 14:58:23,"672","True","R_3Pqbvyh7TNVJM8T","5a62141f13898300014b1ea6","818118",1996,"Female","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea","goblet","desk computer","howler monkey","sunflower","thimble","crash helmet","squirrel monkey","shrimp","mite","hognose snake","basenjy","pc hoover","dalmatian","partridge","cello","pearls","tents","orchidea","howler monkey",1,1,0.8,0.2,1,0.8,0.4,1,0.8,1,0.6,1,0.8,1,1,0.8,0.2,0.6,1,1,0.6,0.6,1,0.8,11.647,13.383,11.685,14.911,7.885,19.641,13.138,27.256,12.573,10.266,11.751,15.947,18.346,15.117,7.805,24.711,43.554,41.342,14.213,13.167,12.747,16.148,9.301,17.637,24,1,0,4,4,0.8,0,1,0,0,0,0,1,1,0,0,1,"correct","correct","correct","correct","correct","correct","correct","synonym","wrong","synonym","category","wrong","category","correct","correct","wrong","correct","synonym","present","wrong","wrong","wrong","present","category","correct",1,1,1,3,1,0.791666666666667,16.8404583333333,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,10,13,15,18,0.416666666666667,0.541666666666667,0.625,0.75
