"","AI_trustworthy_chr","task_difficulty_chr","AI_help_count","Feedback","StartDate","Duration (in seconds)","Finished","ResponseId","PROLIFIC_PID","mTurkCode","year_born","gender_chr","education_chr","Group","Consent1_chr","Consent2_chr","Attn_check1_chr","Attn_check2_chr","age","college","male_num","AI_trustworthy_in_num","Task_difficulty_in_num","AI_help_percent","One_AI_bar","One_AI_nobar","Five_AI_bar","Five_AI_nobar","Five_AI_ABC","Control","AI","One_AI","Five_AI","bar","nobar","attn_check1_num","attn_check2_num","attn_check3_num","attn_check_sum","attn_check","avg_conf","avg_time_spent_per_Q","exact_match_answers_sum","synonym_answers_sum","present_answers_sum","category_answers_sum","response","image","conf_resp","time_taken","image_accuracy","exact_match","synonym","present","category","values","ind"
"1",NA,"Extremely difficult",NA,NA,2020-05-01 14:41:55,"515","True","R_dfXLTMVXpiMb9K1","58740807327dab000199e2b0","565062",1956,"Female","Some college","Control","Yes","Yes","Howler Monkey","Be Specific",64,0,0,NA,5,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,0.475,15.05525,6,9,11,20,"underwater shot","sea_slug_resp",0.4,17.725,"wrong",0,0,0,0,0,"sea_slug_category"
"2","Somewhat untrustworthy","Somewhat difficult",18,NA,2020-05-01 14:44:07,"550","True","R_2zOzRpFBOVQ2CPk","5b22378b60c40e000103a644","463944",1998,"Male","Some college","5AI_nobar","Yes","Yes","Howler Monkey","Be Specific",22,0,1,2,4,0.72,0,0,0,1,0,0,1,0,1,0,1,1,1,1,3,1,0.666666666666667,14.2698333333333,14,18,20,21,"sea slug","sea_slug_resp",0.6,9.661,"correct",1,1,1,1,1,"sea_slug_category"
"3","Somewhat untrustworthy","Somewhat easy",7,NA,2020-05-01 14:49:44,"255","True","R_10BngK9KEBwxDZG","5c8e8bed75696a001820d5eb","859669",1994,"Female","4 year degree","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",26,1,0,2,2,0.28,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.583333333333333,6.59791666666667,11,14,16,18,"sea slug","sea_slug_resp",0.6,6.565,"correct",1,1,1,1,1,"sea_slug_category"
"4","Somewhat untrustworthy","Somewhat difficult",7,NA,2020-05-01 14:48:41,"423","True","R_32RCjZaxsaUjtQZ","5d0a322690da3200017cac41","842053",1998,"Female","Some college","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",22,0,0,2,4,0.28,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.341666666666667,12.4551666666667,12,15,17,18,"sea slug","sea_slug_resp",0,8.306,"correct",1,1,1,1,1,"sea_slug_category"
"5","Somewhat trustworthy","Extremely easy",8,NA,2020-05-01 14:46:00,"661","True","R_ekwWGUxwzhyERBD","58c471683977190001f54327","817006",1970,"Female","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific",50,1,0,4,1,0.32,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,0.633333333333333,21.364125,11,14,17,19,"sea slug","sea_slug_resp",0,21.738,"correct",1,1,1,1,1,"sea_slug_category"
"6",NA,"Somewhat difficult",NA,NA,2020-05-01 14:49:37,"499","True","R_2YfwIWkcbpaGDMs","5c2e21bf2c45d400014a9121","667",1976,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific",44,1,0,NA,4,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,0.508333333333333,16.9280416666667,3,6,10,19,"coral","sea_slug_resp",0,25.046,"synonym",0,0,1,1,1,"sea_slug_category"
"7","Somewhat trustworthy","Somewhat difficult",18,NA,2020-05-01 14:44:24,"904","True","R_3dXMEtAAnb9btiG","5c4a28e0b8f0e3000192feda","36094",1993,"Female","4 year degree","5AI_bar","Yes","Yes","Howler Monkey","Be Specific",27,1,0,4,4,0.72,0,0,1,0,0,0,1,0,1,1,0,1,1,1,3,1,0.658333333333333,31.4169166666667,16,18,20,21,"sea slug","sea_slug_resp",0.8,16.215,"correct",1,1,1,1,1,"sea_slug_category"
"8","Somewhat untrustworthy","Somewhat difficult",8,NA,2020-05-01 14:52:02,"492","True","R_3femOvMlhAQlsfA","59ce5e24aeef3b0001021a58","802494",1985,"Female","Some college","5AI_bar","Yes","Yes","Spider Monkey","Be Specific",35,0,0,2,4,0.32,0,0,1,0,0,0,1,0,1,1,0,0,1,1,2,0,0.575,16.1295416666667,10,15,17,21,"sea slug","sea_slug_resp",0.8,8.679,"correct",1,1,1,1,1,"sea_slug_category"
"9","Somewhat trustworthy","Somewhat easy",4,"The instructions were a little hard to understand",2020-05-01 14:43:08,"1351","True","R_r6mlXUKPAQawvm1","5eab263a1d4ec50e7aa250f2","498501",1997,"Male","High School","5AI_ABC","Yes","Yes","Howler Monkey","Be Detailed",23,0,1,4,2,0.16,0,0,0,0,1,0,1,0,1,0,1,1,0,1,2,0,0.825,41.9520416666667,10,15,16,19,"a sea cucumber","sea_slug_resp",0.2,43.598,"synonym",0,0,1,1,1,"sea_slug_category"
"10","Somewhat trustworthy","Somewhat difficult",20,"none",2020-05-01 14:58:23,"672","True","R_3Pqbvyh7TNVJM8T","5a62141f13898300014b1ea6","818118",1996,"Female","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific",24,1,0,4,4,0.8,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,0.791666666666667,16.8404583333333,10,13,15,18,"sea slug","sea_slug_resp",1,11.647,"correct",1,1,1,1,1,"sea_slug_category"
"11",NA,"Extremely difficult",NA,NA,2020-05-08 14:27:56,"365","True","R_RCYh9EY7qZfZ681","5ac68755fa3b4e0001737f38","29481",1985,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific",35,1,0,NA,5,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,1,0.233333333333333,11.323875,2,6,9,17,"sea urchin","sea_slug_resp",0.2,12.754,"synonym",0,0,1,1,1,"sea_slug_category"
"12","Somewhat untrustworthy","Somewhat easy",10,NA,2020-05-08 14:27:13,"576","True","R_2dnbHyJFchSQYuJ","5e9368b94613916a1256cecc","201383",1999,"Female","2 year degree","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific",21,0,0,2,2,0.4,0,0,0,0,1,0,1,0,1,0,1,1,1,1,3,1,0.608333333333333,18.47375,12,14,16,18,"sea slug","sea_slug_resp",0.8,17.26,"correct",1,1,1,1,1,"sea_slug_category"
"13","Somewhat trustworthy","Somewhat easy",13,NA,2020-05-08 14:29:50,"444","True","R_2X7CgGYRmJZia18","5b292e641887d40001799556","3155",1998,"Female","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Detailed",22,1,0,4,2,0.52,0,1,0,0,0,0,1,1,0,0,1,1,0,1,2,0,0.7,14.3222916666667,14,17,18,19,"sea slug","sea_slug_resp",0.4,10.573,"correct",1,1,1,1,1,"sea_slug_category"
"14","Somewhat untrustworthy","Somewhat easy",12,NA,2020-05-08 14:27:59,"570","True","R_2EE1AiJqwXXIwSD","5ea87cc7ae8c352b48ad68d9","694709",1972,"Male","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific",48,1,1,2,2,0.48,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,0.9,18.2432916666667,13,15,17,18,"sea slug","sea_slug_resp",0.8,11.387,"correct",1,1,1,1,1,"sea_slug_category"
"15","Somewhat trustworthy","Somewhat difficult",12,"N/A",2020-05-08 14:33:17,"353","True","R_31XUfqfI9EGOmjD","5e8ce612d1ee0909a493975e","311520",1999,"Male","Some college","1AI_bar","Yes","Yes","Howler Monkey","Be Specific",21,0,1,4,4,0.48,1,0,0,0,0,0,1,1,0,1,0,1,1,1,3,1,0.741666666666667,10.1080833333333,14,17,19,19,"sea slug","sea_slug_resp",0.6,9.242,"correct",1,1,1,1,1,"sea_slug_category"
"16","Somewhat trustworthy","Somewhat difficult",17,NA,2020-05-08 14:27:34,"739","True","R_vOEEcqCmlQn17pv","5be2878391deed00015ac7f3","295789",1979,"Male","4 year degree","5AI_nobar","Yes","Yes","Howler Monkey","Be Specific",41,1,1,4,4,0.68,0,0,0,1,0,0,1,0,1,0,1,1,1,1,3,1,0.466666666666667,25.9753333333333,8,11,12,14,"sea slug","sea_slug_resp",0.4,20.017,"correct",1,1,1,1,1,"sea_slug_category"
"17","I don't know","Somewhat difficult",5,NA,2020-05-08 14:29:54,"629","True","R_2xwQFfnK3pJI78I","5964f6f6a670a100019423e3","874818",1970,"Female","Less than high school","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific",50,NA,0,3,4,0.2,0,0,0,0,1,0,1,0,1,0,1,1,1,1,3,1,0.566666666666667,21.7140833333333,15,17,19,20,"sea slug","sea_slug_resp",0,17.163,"correct",1,1,1,1,1,"sea_slug_category"
